,Date,Open,High,Low,Close,NH20,NH60,NH200,NH250,NL20,NL60,NL200,NL250,diffNHNL20d,RatioNHNL200d,Threshold_line,diffShortNHNL,diffLongNHNL,diffShortLongNHNL,diffShortLongNHNL_MA120,Advanced,Unchanged,Declined,Total,AD Line
298,2022-01-31,1647.6800537109375,1655.47998046875,1646.8800048828125,1648.81005859375,35,17,8,8,19,11,3,2,2.3564064801178204,0.7606882957959679,0.8397477680068752,6,5,1,-0.025,379,156,115,650,-43.404081508660646
299,2022-02-01,1659.4300537109375,1663.760009765625,1658.260009765625,1661.75,21,11,5,4,9,4,3,2,1.7673048600883652,0.7680746594323316,0.8377938741260157,7,2,5,0.03333333333333333,351,160,134,645,-42.24312238493728
300,2022-02-02,1665.800048828125,1669.5,1658.5799560546875,1667.75,33,22,9,9,6,4,2,2,3.976435935198822,0.77658281794049,0.8361235855287613,18,7,11,0.275,250,206,189,645,-41.7002725066669
301,2022-02-03,1664.6300048828125,1673.75,1664.0899658203125,1669.050048828125,37,29,14,12,10,1,1,1,3.976435935198822,0.7810272623849345,0.8345678802648402,28,13,15,0.475,188,193,266,647,-42.33435598356099
302,2022-02-04,1672.9000244140625,1678.719970703125,1672.3900146484375,1674.219970703125,37,18,8,7,10,2,1,1,3.976435935198822,0.7830215643792364,0.8331095159315933,16,7,9,0.5166666666666667,201,205,245,651,-42.79651638105271
303,2022-02-07,1679.0799560546875,1681.1700439453125,1667.2900390625,1677.239990234375,37,24,11,10,11,2,0,0,3.829160530191458,0.7844104532681253,0.831666583697112,22,11,11,0.6583333333333333,194,198,257,649,-43.359173394314666
304,2022-02-08,1680.6099853515625,1685.1400146484375,1677.47998046875,1684.22998046875,40,18,10,10,14,3,2,1,3.829160530191458,0.7832993421570141,0.8300662440552232,15,8,7,1.0833333333333333,235,195,221,651,-43.091912152402244
305,2022-02-09,1689.52001953125,1708.030029296875,1688.949951171875,1703.1600341796875,59,29,16,16,25,9,1,1,5.007363770250368,0.786485616666818,0.8283923750015698,20,15,5,1.9416666666666667,194,171,290,655,-43.83899952003987
306,2022-02-10,1705.72998046875,1707.43994140625,1696.72998046875,1703.0,41,25,12,10,39,15,4,3,0.29455081001472755,0.7837682253624703,0.8266546356394807,10,8,2,2.033333333333333,175,167,308,650,-44.72875604104248
307,2022-02-11,1694.7099609375,1703.949951171875,1690.68994140625,1699.199951171875,28,16,10,10,50,19,5,4,-3.240058910162003,0.7808442487542832,0.8249120229830448,-3,5,-8,2.025,172,186,293,651,-45.533155707582324
308,2022-02-14,1692.8900146484375,1694.18994140625,1680.8299560546875,1684.68994140625,21,14,7,7,77,42,9,8,-8.24742268041237,0.77213591542095,0.823035382548831,-28,-2,-26,1.8583333333333334,119,149,387,655,-46.869818217966554
309,2022-02-15,1688.6700439453125,1702.739990234375,1687.1800537109375,1701.449951171875,26,17,10,9,34,20,9,6,-1.1782032400589102,0.7678126071502731,0.8211462107862965,-3,1,-4,1.8166666666666667,339,163,151,653,-45.79914484881299
310,2022-02-17,1709.5,1718.550048828125,1708.4300537109375,1711.5799560546875,65,34,19,16,15,11,5,5,7.363770250368188,0.7643403849280509,0.8191991686533916,23,14,9,1.8583333333333334,329,166,153,648,-44.772552322262726
311,2022-02-18,1709.030029296875,1716.1400146484375,1703.5999755859375,1713.199951171875,52,23,10,10,16,10,4,2,5.3019145802650955,0.7613328661310584,0.8172312409732854,13,6,7,1.925,218,183,250,651,-45.189581150376874
